geo\time	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 
AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: i	: 	: 	: 	: 	: 	: 	: 	: 	: 
AT	: 	: 	: 	: 	6.04 	5.94 	5.84 	5.80 	5.86 	5.66 	5.74 	5.68 	5.53 	5.48 	5.44 	5.40 	5.33 	5.47 	5.98 	5.91 	5.80 
BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	5.99 i	6.09 d	6.02 d	5.95 d	5.92 d	5.98 d	6.00 d	6.43 d	6.57 d	6.58 d	6.55 d
BG	: 	5.3 	5.1 	4.2 	3.39 	2.60 	2.65 	4.28 	4.02 	3.88 	3.70 	3.94 	4.09 	4.40 	4.25 	4.04 	3.88 	4.44 	4.58 	4.10 	3.82 
CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.06 	5.25 	5.57 	5.72 	5.55 	5.52 	5.28 	4.88 	4.95 	5.36 	5.22 	5.28 
CY	: 	: 	4.6 i	4.8 i	4.63 i	4.89 i	5.51 i	5.61 i	5.36 i	5.42 i	5.98 i	6.60 d	7.37 d	6.77 d	6.95 d	7.02 d	6.95 d	7.45 d	7.98 d	7.92 d	7.87 d
CZ	: 	: 	: 	: 	: 	4.71 	4.46 	3.95 	3.97 	3.83 	3.93 	4.15 	4.32 	4.20 	4.08 	4.42 	4.05 	3.92 	4.36 	4.25 	4.51 
DE	: 	: 	: 	: 	4.62 	: 	4.55 	: 	4.51 	4.45 	4.51 	4.72 	4.74 	4.62 	4.57 	4.43 	4.49 	4.57 	5.06 	5.08 	4.98 
DK	: 	: 	: 	: 	7.67 i	8.08 i	7.92 i	8.30 i	8.11 i	8.28 i	8.44 d	8.44 d	8.33 	8.43 	8.30 d	7.97 d	7.81 d	7.68 d	8.74 d	8.81 d	8.75 d
EA17	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.86 e	4.89 e	4.80 e	4.72 e	4.69 e	4.79 e	4.94 e	5.31 e	5.28 e	5.15 e
EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.87 e	4.89 e	4.80 e	4.72 e	4.69 e	4.79 e	4.94 e	5.31 e	5.28 e	5.15 e
EE	: 	: 	5.9 i	5.5 i	5.88 i	6.05 i	5.92 i	5.71 i	6.74 i	5.57 i	5.24 	5.47 	5.29 	4.92 	4.88 	4.70 	4.72 d	5.61 	6.03 	5.66 	5.16 
EL	: 	: 	2.7 i	3.0 i	2.87 i	3.09 i	3.46 i	3.48 i	3.25 i	3.71 i	3.50 i	3.57 i	3.56 i	3.83 i	4.09 	: 	: 	: 	: 	: 	: 
ES	: 	4.8 	4.9 	4.7 	4.66 	4.62 	4.48 	4.42 	4.38 	4.28 	4.24 	4.25 	4.28 	4.25 	4.23 	4.26 	4.34 	4.62 	5.02 	4.98 	4.82 
EU27	: 	: 	: 	: 	: 	: 	: 	: 	4.86 s	4.91 s	4.99 s	5.00 e	5.04 e	4.95 e	4.92 e	4.91 e	4.93 e	5.04 e	5.38 e	5.41 e	5.25 e
EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.00 e	5.03 e	4.95 e	4.92 e	4.91 e	4.92 e	5.04 e	5.38 e	5.41 e	5.25 e
FI	7.2 	7.3 	6.9 	6.7 	6.85 	6.99 	6.51 	6.26 	6.08 	5.89 	6.06 	6.22 	6.43 	6.42 	6.30 	6.18 	5.90 	6.10 	6.81 	6.85 	6.76 
FR	5.4 i	5.7 i	6.1 i	6.0 i	6.04 i	6.01 i	6.03 i	5.95 i	5.81 i	6.04 	5.95 	5.90 	5.92 	5.80 	5.67 	5.61 	5.62 	5.62 	5.90 	5.86 	5.68 
HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.71 d	3.93 d	3.87 	3.98 d	4.04 d	4.02 d	4.32 d	4.42 d	4.31 d	4.21 d
HU	: 	6.5 	6.3 	6.1 	5.39 	4.51 	4.64 	4.59 	4.66 	4.50 	5.06 	5.39 	5.91 	5.44 	5.46 	5.44 	5.29 	5.10 	5.12 	4.90 	4.71 
IE	5.4 	5.6 	5.9 	5.9 	5.07 	5.30 	5.11 	4.82 	3.34 	4.29 	4.24 	4.27 	4.35 	4.66 	4.72 	4.73 	4.92 	5.67 	6.43 	6.41 	6.15 
IS	: 	: 	: 	: 	4.87 i	5.43 i	5.53 i	5.89 i	5.78 i	5.93 i	6.24 i	6.79 i	7.70 i	7.47 i	7.59 i	7.55 i	7.36 i	7.56 i	7.81 i	7.60 	7.36 d
IT	5.4 	5.4 	5.4 	5.0 	4.85 	4.78 	4.46 	4.65 	4.47 	4.52 	4.83 	4.60 	4.72 	4.56 	4.41 	4.67 	4.27 	4.56 	4.70 	4.50 	4.29 
JP	: 	3.4 i	3.5 i	3.7 i	3.24 i	: 	3.67 i	3.59 i	3.60 i	3.82 i	3.58 i	3.60 d	3.64 d	3.59 d	3.48 d	3.46 d	3.45 d	3.46 d	3.61 d	3.85 d	3.78 
LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.96 	2.46 	2.43 	2.29 	2.05 	1.92 	2.05 	2.90 	2.68 	2.53 
LT	: 	: 	4.6 	5.6 	5.12 	5.18 	5.45 	5.99 	6.37 	5.63 	5.86 	5.81 	5.14 	5.17 	4.88 	4.82 	4.64 	4.88 	5.64 	5.36 	5.17 
LU	: 	: 	: 	: 	4.26 i	4.03 i	4.13 i	: 	: 	: 	3.75 d	3.79 d	3.77 d	3.87 d	3.78 d	3.41 d	3.15 d	: 	: 	: 	: 
LV	: 	4.6 	6.1 	6.1 	6.19 	5.14 	5.43 	5.85 	5.77 	5.64 	7.22 	6.60 	5.58 	5.12 	5.14 	5.13 	5.07 	5.71 	5.59 	4.96 	4.96 
MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.35 i	3.30 i	: 	: 	: 	: 	: 	: 	: 	: 
MT	: 	: 	: 	: 	: 	: 	: 	4.82 	4.43 	4.52 	4.27 	4.22 	4.48 	4.66 	6.58 b	6.45 	6.18 	5.72 i	5.32 	6.74 	7.96 
NL	5.1 	5.4 	5.2 	5.1 	5.06 	5.03 	4.78 	4.82 	4.90 	4.98 	5.09 	5.22 	5.47 	5.50 	5.53 	5.50 	5.32 	5.50 	5.95 	5.98 	5.93 
NO	7.9 i	8.0 i	7.9 i	7.8 i	7.44 i	6.98 i	7.59 i	7.60 i	7.30 i	6.74 i	7.18 i	7.58 d	7.55 	7.42 	6.97 	6.49 	6.66 	6.40 	7.24 	6.87 	6.66 
PL	: 	: 	: 	: 	5.10 i	4.67 i	4.77 i	5.02 i	4.79 i	4.87 i	5.42 i	5.41 d	5.35 d	5.41 d	5.47 d	5.25 d	4.91 d	5.08 d	5.09 d	5.17 d	4.94 
PT	: 	: 	: 	: 	5.37 i	5.32 i	5.36 i	5.36 i	5.43 i	5.42 d	5.39 d	5.33 d	5.38 d	5.10 d	5.21 d	5.07 d	5.10 d	4.89 d	5.79 d	5.62 d	5.27 d
RO	: 	: 	: 	: 	: 	: 	: 	: 	3.37 	2.88 	3.25 	3.51 	3.45 	3.28 	3.48 	: u	4.25 	: u	4.24 	3.53 	3.07 
SE	6.9 	7.8 	7.4 	7.1 	7.22 	7.36 	7.60 	7.69 	7.30 	7.16 	7.06 	7.36 	7.21 	7.09 	6.89 	6.75 	6.61 	6.76 	7.26 	6.98 	6.82 
SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.86 	5.76 	5.80 	5.74 	5.73 	5.72 	5.15 	5.20 	5.69 	5.68 	5.68 
SK	: 	6.0 i	4.7 i	3.9 i	5.01 i	4.53 i	4.83 i	4.53 i	4.18 i	3.92 i	3.99 d	4.31 d	4.30 d	4.19 d	3.85 d	3.80 d	3.62 d	3.61 d	4.09 d	4.22 d	4.06 d
TR	3.3 i	3.7 i	3.7 i	2.9 i	2.40 i	2.59 i	2.94 i	3.26 i	2.96 i	3.48 i	2.71 i	2.82 i	2.96 i	3.12 	: 	2.86 	: 	: 	: 	: 	4.07 
UK	5.2 i	5.3 i	5.4 i	5.4 i	5.02 i	5.10 i	4.97 i	4.77 i	4.47 i	4.64 i	4.58 i	5.06 d	5.21 d	5.12 d	5.31 d	5.38 d	5.29 d	5.28 d	5.56 d	6.15 d	5.98 d
US	4.8 i	4.9 i	4.9 i	4.8 i	4.56 i	4.90 i	4.92 i	4.94 i	5.23 i	4.94 i	5.55 i	5.32 d	5.43 d	5.14 d	4.91 d	5.24 d	5.13 d	5.26 d	5.30 d	5.32 d	5.13 d
